Speech,Key-words
inaugAbrahamLincoln-1,case,minority,fugitive,secede,clause,slave,surrendered,lawfully,expressly,union
inaugAbrahamLincoln-2,offense,woe,insurgent,answered,address,slave,cease,pray,appearing,absorbs
inaugAndrewJackson-1,diffidence,generally,defending,worth,accountability,militia,teach,fellowcitizensabout,customary,convinces
inaugAndrewJackson-2,constitutionally,proportion,preservation,union,observation,exercise,necessarily,impressed,importance,connected
inaugBarackObama-1,job,muslim,icy,america,storm,woman,generation,winter,you,journey
inaugBarackObama-2,journey,she,creed,requires,selfevident,train,complete,founding,thrives,thats
inaugBenjaminHarrison-1,ballot,method,european,elector,friendly,suggestion,officer,covenant,list,commercial
inaugCalvinCoolidge-1,represents,tax,array,property,unless,ought,save,method,result,definite
inaugDonaldJTrump-1,america,obama,job,dream,everyone,weve,back,your,protected,transferring
inaugDwightDEisenhower-1,productivity,korea,thatin,stamen,spiritual,strive,everywhere,defines,prisoner,faith
inaugDwightDEisenhower-2,strives,divided,help,mr,honorably,want,fate,freedom,seek,communism
inaugFranklinDRoosevelt-1,helped,leadership,stricken,recovery,discipline,emergency,critical,languishes,changer,lie
inaugFranklinDRoosevelt-2,democracy,paint,million,despair,disaster,ruthless,epidemic,selfinterest,opportunism,timidity
inaugFranklinDRoosevelt-3,speaks,democracy,democracyfor,disruption,stock,something,measured,know,later,america
inaugFranklinDRoosevelt-4,learned,upward,wellbeing,test,gain,friendsyou,briefwe,—of,resolve—of,wisdom—of
inaugFranklinPierce-1,hardly,your,apparent,regarded,position,preferment,consult,realized,entirely,tone
inaugGeorgeBush-1,breeze,dont,blowing,mr,door,crucial,friend,page,loyal,watching
inaugGeorgeWashington-1,immutable,providential,your,impression,peculiarly,retreat,rendered,qualification,supplication,pecuniary
inaugGeorgeWashington-2,arrive,americaprevious,upbraiding,citizensi,violated,willingly,incurring,knowingly,besides,injunction
inaugGeorgeWBush-1,story,civility,commitment,affirm,america,ideal,compassion,whirlwind,directs,everyone
inaugGeorgeWBush-2,america,freedom,tyranny,ideal,your,excuse,defended,seen,choice,fire
inaugGroverCleveland-I-1,yours,partisan,extravagance,governmentbut,strife,commended,application,appreciation,relieve,amity
inaugGroverCleveland-II-2,frugality,activity,governmental,related,aggregation,kindred,paternalism,taxing,dependence,justification
inaugHerbertHoover-1,enforcement,18th,criminal,ideal,federal,rightly,domination,liquor,settlement,amendment
inaugJamesBuchanan-1,territory,whilst,agitation,invasion,slavery,speedily,convinced,grant,squandering,warmaking
inaugJamesGarfield-1,negro,voter,ballot,incumbent,concerning,jurisdiction,metal,note,supreme,race
inaugJamesKPolk-1,texas,union,her,revenue,compromise,delegated,extended,levying,reunion,happy
inaugJamesMadison-1,belligerent,rendered,avail,improvement,council,advancement,inexpressibly,enhancedthe,severely,wasteful
inaugJamesMadison-2,british,savage,massacre,cruel,prisoner,usage,captive,until,reliance,render
inaugJamesMonroe-1,invasion,naval,put,dependent,importance,connected,extending,duly,explain,situated
inaugJamesMonroe-2,fortification,preceding,concluded,spain,colony,occurrence,coast,revenue,respecting,satisfied
inaugJimmyCarter-1,micah,thee,dream,enhance,bible,together,mercy,basic,remembered,physical
inaugJohnAdams-1,legislature,pleasing,virtuous,habitual,amiable,resolution,attachment,anything,esteem,preference
inaugJohnFKennedy-1,side,let,explore,both,dare,final,negotiate,finished,begin,forebear
inaugJohnQuincyAdams-1,union,instituted,performance,candid,internal,promoted,whatsoever,general,predecessor,allotted
inaugLyndonBJohnson-1,covenant,mastery,rocket,mar,30,trying,span,harvest,believer,change
inaugMartinvanBuren-1,supposed,institution,actual,designed,occasionally,adherence,foreboding,looking,apprehension,violence
inaugRichardNixon-1,rhetoric,third,moon,celebrate,heard,wanting,listen,voice,goal,caught
inaugRichardNixon-2,role,america,responsibility,abroad,let,4,ashamed,era,help,retreat
inaugRonaldReagan-1,hero,im,marker,productivity,theyre,monument,group,going,front,dream
inaugRonaldReagan-2,nuclear,soviet,weapon,weve,thats,song,senator,budget,reduce,spend
inaugRutherfordBHayes-1,behalf,party,nomination,complication,dispute,reform,repeat,furtherance,emancipated,serf
inaugTheodoreRoosevelt-1,faced,problem,wellbeing,heritage,greatness,why,show,fellowcitizensno,boastfulness,giver
inaugThomasJefferson-1,thousandth,error,retire,intolerance,trusted,republican,your,honest,him,fellowcitizens
inaugThomasJefferson-2,false,whatsoever,fellowcitizens,covered,enlighten,licentiousness,falsehood,defamation,collected,press
inaugUlyssesSGrant-1,dollar,paying,deal,twentyfive,payment,specie,advisable,debt,desirable,determination
inaugUlyssesSGrant-2,transit,santo,domingo,proposition,telegraph,steam,extermination,him,returning,extension
inaugWarrenGHarding-1,relationship,civilization,normal,inspiration,america,unshaken,amid,supreme,understanding,wrought
inaugWilliamHenryHarrison-1,roman,grant,executive,tendency,department,conceive,used,constitution,aristocracy,remark
inaugWilliamHowardTaft-1,negro,interstate,business,tariff,amendment,employee,type,lock,south,bill
inaugWilliamJClinton-1,america,renewal,season,sake,idea,challenge,compete,serving,today,celebrate
inaugWilliamJClinton-2,century,dream,america,21st,promise,enough,20th,yes,journey,street
inaugWilliamMcKinley-1,loan,revenue,congress,legislation,revision,session,revival,merchant,marine,convene
inaugWilliamMcKinley-2,island,cuba,inhabitant,philippine,preparation,advised,cuban,executive,commission,permanence
inaugWoodrowWilson-1,familiar,studied,stirred,aspect,sweep,safeguarding,inconceivable,process,interpret,intimate
inaugWoodrowWilson-2,wished,counsel,singular,thought,despite,politics,drawn,current,immediate,industrial
inaugZacharyTaylor-1,purity,vested,imposes,conflicting,judicial,assembledthe,weightiest,loftiest,surrounded,diligently
